Date,Open,High,Low,Close,Adj Close,Volume
"Oct 21, 2021",170.76,171.33,168.68,169.50,155.84,"8,415,200"
"Oct 20, 2021",168.30,170.87,167.46,170.84,157.07,"8,185,600"
"Oct 19, 2021",167.40,168.65,166.58,168.57,154.98,"8,053,900"
"Oct 18, 2021",166.48,168.61,165.91,166.55,153.12,"12,672,900"
"Oct 15, 2021",165.35,167.17,164.14,166.61,153.18,"14,267,400"
"Oct 14, 2021",161.75,164.01,160.06,163.47,150.29,"15,176,800"
"Oct 13, 2021",164.07,165.41,160.60,161.00,148.02,"22,753,500"
"Oct 12, 2021",165.75,166.69,164.77,165.36,152.03,"13,032,600"
"Oct 11, 2021",170.80,171.29,166.46,166.64,153.21,"12,154,700"
"Oct 8, 2021",170.02,171.34,169.30,170.22,156.50,"8,190,100"
"Oct 7, 2021",171.20,171.51,169.54,170.09,156.38,"10,195,400"
"Oct 6, 2021",167.99,169.10,166.00,169.02,155.40,"8,692,600"
"Oct 5, 2021",167.21,170.14,166.67,168.66,155.06,"12,292,900"
"Oct 4, 2021",166.97,170.44,165.73,166.95,152.57,"14,120,000"
"Oct 1, 2021",164.00,168.30,163.60,167.13,152.74,"11,285,000"
"Sep 30, 2021",166.92,166.99,162.79,163.69,149.59,"13,161,200"
"Sep 29, 2021",166.21,166.90,165.04,165.95,151.66,"7,777,100"
"Sep 28, 2021",167.70,169.30,165.66,166.08,151.78,"13,387,900"
"Sep 27, 2021",165.00,167.40,164.61,166.98,152.60,"13,220,900"
"Sep 24, 2021",161.44,163.59,160.82,163.04,149.00,"10,102,400"
"Sep 23, 2021",158.00,161.71,157.67,161.18,147.30,"12,336,100"
"Sep 22, 2021",155.20,157.25,155.10,155.91,142.48,"11,236,200"
"Sep 21, 2021",153.53,154.55,152.58,152.98,139.81,"8,999,900"
"Sep 20, 2021",153.89,154.56,150.49,152.96,139.79,"15,819,900"
"Sep 17, 2021",157.38,159.01,157.00,157.68,144.10,"25,581,600"
"Sep 16, 2021",159.41,160.85,157.22,158.09,144.48,"10,880,900"
"Sep 15, 2021",156.72,158.69,156.47,158.16,144.54,"11,691,500"
"Sep 14, 2021",160.45,161.34,156.26,157.07,143.54,"11,685,600"
"Sep 13, 2021",158.53,160.05,158.07,159.86,146.09,"10,052,800"
"Sep 10, 2021",160.56,160.72,157.22,157.36,143.81,"8,311,600"
"Sep 9, 2021",158.27,160.83,158.08,159.19,145.48,"7,904,300"
"Sep 8, 2021",158.89,159.58,158.04,158.50,144.85,"7,852,700"
"Sep 7, 2021",159.99,161.38,158.96,159.21,145.50,"9,285,600"
"Sep 3, 2021",160.39,160.89,159.15,159.49,145.75,"7,959,700"
"Sep 2, 2021",160.02,161.61,159.43,160.46,146.64,"8,813,300"
"Sep 1, 2021",160.22,160.76,158.97,159.72,145.97,"8,729,900"
"Aug 31, 2021",160.44,161.37,159.35,159.95,146.18,"12,340,800"
"Aug 30, 2021",163.21,163.49,159.88,160.44,146.62,"7,937,600"
"Aug 27, 2021",161.75,163.16,161.26,163.05,149.01,"8,780,200"
"Aug 26, 2021",162.26,163.83,161.15,161.75,147.82,"11,027,500"
"Aug 25, 2021",158.51,161.78,157.80,160.92,147.06,"11,335,000"
"Aug 24, 2021",157.00,158.55,156.87,157.67,144.09,"7,670,900"
"Aug 23, 2021",155.33,157.09,155.24,156.70,143.21,"7,934,600"
"Aug 20, 2021",154.35,154.90,153.16,154.72,141.40,"6,974,100"
"Aug 19, 2021",153.16,155.56,153.01,154.28,140.99,"9,517,700"
"Aug 18, 2021",156.31,158.01,155.34,155.58,142.18,"8,065,500"
"Aug 17, 2021",157.57,158.86,155.27,157.01,143.49,"9,347,200"
"Aug 16, 2021",158.94,159.03,156.78,158.93,145.24,"8,755,800"
"Aug 13, 2021",161.79,162.16,159.57,159.98,146.20,"8,980,900"
"Aug 12, 2021",161.88,162.37,160.55,161.79,147.86,"8,844,200"
"Aug 11, 2021",160.00,161.50,159.08,161.16,147.28,"9,156,500"
"Aug 10, 2021",156.74,159.98,156.31,159.26,145.54,"8,667,000"
"Aug 9, 2021",157.52,158.55,155.90,157.33,143.78,"9,516,900"
"Aug 6, 2021",155.19,157.82,155.11,157.50,143.94,"13,328,800"
"Aug 5, 2021",152.28,153.69,152.01,153.15,139.96,"9,151,500"
"Aug 4, 2021",151.25,153.37,150.91,151.24,138.22,"10,155,000"
"Aug 3, 2021",151.95,153.32,149.52,152.89,139.72,"10,394,800"
"Aug 2, 2021",152.03,154.45,151.07,151.17,138.15,"10,203,200"
"Jul 30, 2021",152.58,153.67,151.20,151.78,138.71,"9,805,200"
"Jul 29, 2021",153.14,153.87,151.91,153.00,139.82,"9,063,500"
"Jul 28, 2021",152.29,152.77,150.88,151.70,138.64,"9,217,300"
"Jul 27, 2021",150.40,152.49,149.80,151.45,138.41,"11,218,700"
"Jul 26, 2021",150.19,151.96,150.17,151.65,138.59,"8,208,000"
"Jul 23, 2021",151.48,152.84,150.25,150.64,137.67,"9,666,100"
"Jul 22, 2021",152.88,153.44,149.97,150.93,137.93,"9,913,300"
"Jul 21, 2021",152.05,153.65,151.36,152.86,139.70,"12,356,700"
"Jul 20, 2021",146.52,151.12,146.33,149.71,136.82,"15,385,200"
"Jul 19, 2021",148.55,149.82,145.71,146.97,134.31,"22,172,900"
"Jul 16, 2021",155.96,156.28,151.02,151.91,138.83,"14,002,700"
